Date,Low,High,Open,Close,Volumefrom,Volumeto
2019-08-05,10927.8,11937.52,10929.23,11828.8,59656.47,694027648.84
2019-08-06,11226.7,12330.7,11828.8,11481.69,69745.18,822100144.2
2019-08-07,11382.84,12141.17,11481.69,11975.03,63842.27,751757281.17
2019-08-08,11521.0,12060.0,11975.03,11999.77,47773.39,563880694.2
2019-08-09,11700.0,12045.68,11999.77,11879.99,36781.9,435691680.17
2019-08-10,11270.0,11985.0,11879.99,11309.31,39142.5,451950654.29
2019-08-11,11112.11,11599.98,11309.31,11549.97,24863.2,283145958.58
2019-08-12,11235.32,11577.89,11549.97,11396.08,16354.98,186502616.06
2019-08-13,10788.45,11456.16,11396.08,10892.71,30701.79,340946580.62
2019-08-14,9928.1,10897.48,10892.71,10050.37,49924.64,520584896.36
2019-08-15,9911.0,10460.0,10050.37,10293.93,34725.11,352588729.27
2019-08-16,9750.0,10536.03,10293.93,10331.54,47471.23,483608042.39
2019-08-17,10000.0,10465.14,10331.54,10216.02,26833.97,275590038.03
2019-08-18,10080.0,10500.0,10216.02,10306.78,22747.35,234692610.0
2019-08-19,10258.6,10930.0,10306.78,10915.54,34691.43,369061080.1
2019-08-20,10560.0,10949.96,10915.54,10760.51,30436.73,326679449.28
2019-08-21,9858.0,10804.13,10760.51,10142.57,43781.23,446418934.73
2019-08-22,9762.0,10242.0,10142.57,10099.88,31668.02,317436428.81
2019-08-23,10019.79,10445.0,10099.88,10389.55,25678.08,263492576.53
2019-08-24,9890.0,10419.42,10389.55,10134.35,25769.28,260543190.78
2019-08-25,9906.97,10333.0,10134.35,10142.69,24434.36,246592422.01
2019-08-26,10137.93,10604.0,10142.69,10372.25,38361.62,397764602.84
2019-08-27,10051.08,10391.08,10372.25,10185.05,26355.67,268512030.42
2019-08-28,9601.01,10299.0,10185.05,9721.0,38610.66,385261332.53
2019-08-29,9320.0,9724.0,9721.0,9498.44,32797.84,311851907.6
2019-08-30,9350.41,9696.0,9498.44,9584.54,25085.2,239190866.76
2019-08-31,9420.75,9684.51,9584.54,9587.47,16193.23,155146259.17
2019-09-01,9520.0,9830.0,9587.47,9724.98,18309.15,176584928.35
2019-09-02,9712.5,10450.0,9724.98,10340.0,41457.04,415332936.93
2019-09-03,10272.0,10773.0,10340.0,10615.28,43957.34,463005116.33
